"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Acute respiratory disease,  0.1,  0.1, 0.00,  0.1,  0.1, 0.01
  Attention deficit hyperactivity disorder,  0.6,  0.4, 0.03,  0.6,  0.6, 0.00
  Chronic liver disease,  0.0,  0.0, 0.02,  0.0,  0.0, 0.02
  Chronic obstructive lung disease, 16.9, 14.0, 0.08, 16.6, 17.1,-0.01
  Crohn's disease,  1.3,  0.7, 0.06,  1.2,  1.1, 0.01
  Depressive disorder, 22.0, 17.0, 0.13, 21.2, 21.7,-0.01
  Diabetes mellitus,  1.5,  1.3, 0.02,  1.4,  1.4, 0.01
  Gastroesophageal reflux disease, 31.4, 24.9, 0.15, 30.0, 29.9, 0.00
  Gastrointestinal hemorrhage,  3.7,  2.6, 0.06,  3.5,  3.6, 0.00
  Human immunodeficiency virus infection,  0.1,  0.1,-0.01,  0.1,  0.2,-0.02
  Hyperlipidemia, 44.6, 50.8,-0.12, 43.4, 42.0, 0.03
  Hypertensive disorder,  3.5,  3.3, 0.01,  3.4,  3.4, 0.00
  Lesion of liver,  0.0,  0.0, 0.00,  0.0,  0.0,-0.01
  Obesity, 10.3,  9.9, 0.01, 10.1, 10.2, 0.00
  Osteoarthritis, 24.2, 20.3, 0.09, 23.2, 23.1, 0.00
  Pneumonia,  5.2,  3.5, 0.08,  5.0,  5.3,-0.01
  Psoriasis,  1.7,  1.6, 0.00,  1.6,  1.7,-0.01
  Renal impairment,  0.0,  0.1,-0.01,  0.0,  0.1,-0.02
  Rheumatoid arthritis, 10.7,  5.9, 0.17, 10.2, 10.7,-0.01
  Schizophrenia,  0.1,  0.3,-0.04,  0.1,  0.2,-0.02
  Substance abuse,  0.0,  0.0, 0.00,  0.0,  0.0,-0.01
  Ulcerative colitis,  1.1,  0.7, 0.04,  1.1,  1.1, 0.00
  Urinary tract infectious disease, 26.1, 22.1, 0.09, 24.7, 24.8, 0.00
  Viral hepatitis C,  0.9,  0.7, 0.03,  0.9,  1.0,-0.01
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation,  9.8,  8.2, 0.06,  9.6,  9.8,-0.01
  Cerebrovascular disease,  2.8,  2.4, 0.02,  2.6,  2.7,-0.01
  Coronary arteriosclerosis,  8.4,  7.2, 0.05,  8.0,  7.9, 0.00
  Heart disease,  4.4,  3.7, 0.03,  4.1,  4.1, 0.00
  Heart failure,  3.7,  2.8, 0.05,  3.5,  3.7,-0.01
  Ischemic heart disease,  0.3,  0.2, 0.03,  0.3,  0.2, 0.02
  Pulmonary embolism,  1.4,  0.8, 0.05,  1.3,  1.4,-0.01
  Venous thrombosis,  0.9,  0.6, 0.04,  0.8,  0.9,-0.01
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Hematologic neoplasm,   ,  0.0,   ,   ,   ,   
  Malignant lymphoma,  0.5,  0.5, 0.00,  0.5,  0.6,-0.01
  Malignant neoplastic disease,  0.7,  0.7, 0.00,  0.7,  0.8,-0.01
  Malignant tumor of breast,  0.0,  0.0, 0.00,  0.0,  0.0, 0.00
  Malignant tumor of colon,  0.1,  0.1, 0.00,  0.1,  0.1, 0.00
  Malignant tumor of lung,  0.1,  0.1, 0.00,  0.1,  0.1, 0.00
  Malignant tumor of urinary bladder,  0.0,  0.0, 0.00,  0.0,  0.0, 0.01
  Primary malignant neoplasm of prostate,  0.0,  0.0, 0.00,  0.0,  0.0,-0.01
