"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Attention deficit hyperactivity disorder,  0.3,  0.1, 0.04,  0.3,  0.2, 0.02
  Chronic obstructive lung disease, 25.6, 14.4, 0.28, 23.9, 25.3,-0.03
  Crohn's disease,  1.3,  0.4, 0.09,  1.3,  1.2, 0.01
  Depressive disorder, 14.8,  6.5, 0.27, 14.3, 15.5,-0.03
  Diabetes mellitus,  0.1,  0.0, 0.01,  0.1,  0.1, 0.00
  Gastroesophageal reflux disease, 33.8, 14.8, 0.45, 31.8, 34.5,-0.06
  Gastrointestinal hemorrhage,  7.3,  3.3, 0.18,  6.7,  7.1,-0.01
  Human immunodeficiency virus infection,  0.0,  0.0,-0.01,  0.0,  0.0,-0.02
  Hyperlipidemia, 47.5, 33.5, 0.29, 46.4, 48.8,-0.05
  Hypertensive disorder,   ,  0.0,   ,   ,   ,   
  Obesity,  5.6,  3.1, 0.12,  5.6,  6.1,-0.02
  Osteoarthritis, 27.1, 14.7, 0.31, 25.3, 26.9,-0.04
  Pneumonia,  2.5,  0.8, 0.13,  2.4,  2.4, 0.00
  Psoriasis,  2.6,  1.4, 0.09,  2.6,  3.0,-0.03
  Rheumatoid arthritis, 11.6,  5.2, 0.23, 11.1, 11.4,-0.01
  Schizophrenia,  0.1,  0.1, 0.01,  0.1,  0.1, 0.00
  Ulcerative colitis,  1.9,  0.7, 0.11,  1.8,  1.7, 0.00
  Urinary tract infectious disease, 38.1, 20.5, 0.39, 36.2, 38.2,-0.04
  Viral hepatitis C,  0.3,  0.1, 0.04,  0.4,  0.3, 0.00
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation, 15.4,  9.3, 0.19, 14.6, 15.1,-0.01
  Cerebrovascular disease,  8.4,  4.0, 0.18,  7.8,  8.1,-0.01
  Coronary arteriosclerosis, 19.1, 11.0, 0.23, 17.8, 18.3,-0.01
  Heart disease,  4.4,  1.8, 0.15,  4.0,  4.3,-0.02
  Heart failure,  2.8,  1.2, 0.12,  2.7,  3.0,-0.02
  Ischemic heart disease,  0.7,  0.4, 0.04,  0.6,  0.7,-0.01
  Pulmonary embolism,  0.6,  0.2, 0.06,  0.5,  0.6,-0.01
  Venous thrombosis,  1.7,  0.9, 0.08,  1.5,  1.9,-0.03
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Malignant lymphoma,  0.7,  0.6, 0.02,  0.8,  1.0,-0.02
  Malignant neoplastic disease,  0.7,  0.4, 0.04,  0.6,  0.6,-0.01
  Malignant tumor of breast,  0.0,  0.0, 0.01,  0.0,   ,   
  Malignant tumor of colon,  0.0,  0.0, 0.02,  0.0,  0.0, 0.02
  Primary malignant neoplasm of prostate,  0.1,  0.0, 0.01,  0.0,  0.0, 0.00
