"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Acute respiratory disease,  0.0,  0.0, 0.00,  0.0,  0.0, 0.01
  Attention deficit hyperactivity disorder,  0.3,  0.2, 0.01,  0.3,  0.3,-0.01
  Chronic liver disease,  0.0,  0.0, 0.01,  0.0,   ,   
  Chronic obstructive lung disease, 12.8, 10.8, 0.06, 12.6, 13.2,-0.02
  Crohn's disease,  0.9,  0.5, 0.06,  0.9,  1.0,-0.01
  Depressive disorder, 10.4,  8.7, 0.06, 10.2, 10.8,-0.02
  Diabetes mellitus,  0.7,  0.7, 0.01,  0.7,  0.6, 0.01
  Gastroesophageal reflux disease, 16.0, 13.4, 0.07, 15.6, 16.2,-0.02
  Gastrointestinal hemorrhage,  1.4,  1.1, 0.02,  1.4,  1.3, 0.00
  Human immunodeficiency virus infection,  0.1,  0.1, 0.00,  0.1,  0.1,-0.01
  Hyperlipidemia, 31.2, 38.4,-0.15, 30.6, 30.3, 0.01
  Hypertensive disorder,  1.8,  1.6, 0.01,  1.8,  1.9, 0.00
  Lesion of liver,   ,  0.0,   ,   ,   ,   
  Obesity,  5.4,  5.4, 0.00,  5.3,  5.5,-0.01
  Osteoarthritis, 14.1, 12.0, 0.06, 13.7, 14.0,-0.01
  Pneumonia,  2.8,  1.7, 0.07,  2.6,  2.7,-0.01
  Psoriasis,  0.8,  0.9, 0.00,  0.8,  0.9,-0.01
  Renal impairment,  0.0,  0.0, 0.00,  0.0,  0.0, 0.00
  Rheumatoid arthritis,  8.1,  4.5, 0.15,  7.8,  8.1,-0.01
  Schizophrenia,  0.1,  0.2,-0.03,  0.1,  0.1,-0.02
  Substance abuse,  0.0,  0.0, 0.01,  0.0,   ,   
  Ulcerative colitis,  0.7,  0.4, 0.03,  0.6,  0.5, 0.02
  Urinary tract infectious disease, 13.3, 11.2, 0.06, 12.8, 13.1,-0.01
  Viral hepatitis C,  0.6,  0.4, 0.03,  0.5,  0.6,-0.01
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation,  7.5,  6.4, 0.04,  7.2,  7.2, 0.00
  Cerebrovascular disease,  1.2,  1.1, 0.01,  1.2,  1.1, 0.01
  Coronary arteriosclerosis,  4.1,  3.9, 0.01,  4.0,  4.1,-0.01
  Heart disease,  1.9,  1.7, 0.01,  1.8,  1.8, 0.00
  Heart failure,  2.6,  1.9, 0.05,  2.4,  2.5, 0.00
  Ischemic heart disease,  0.1,  0.1, 0.02,  0.1,  0.1, 0.00
  Pulmonary embolism,  0.9,  0.5, 0.05,  0.8,  0.8, 0.00
  Venous thrombosis,  0.3,  0.2, 0.02,  0.3,  0.4,-0.02
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Hematologic neoplasm,   ,  0.0,   ,   ,   ,   
  Malignant lymphoma,  0.3,  0.3, 0.00,  0.3,  0.3,-0.01
  Malignant neoplastic disease,  0.3,  0.3, 0.00,  0.3,  0.3, 0.01
  Malignant tumor of colon,  0.0,  0.0,-0.01,  0.0,  0.0,-0.01
  Malignant tumor of lung,  0.0,  0.0, 0.00,  0.0,  0.0, 0.00
  Malignant tumor of urinary bladder,  0.0,  0.0,-0.01,  0.0,   ,   
  Primary malignant neoplasm of prostate,  0.0,  0.0, 0.00,  0.0,   ,   
