"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Attention deficit hyperactivity disorder,  0.6,  0.2, 0.06,  0.6,  0.6, 0.01
  Chronic obstructive lung disease,  7.5,  4.4, 0.13,  7.3,  8.0,-0.03
  Crohn's disease,  1.2,  0.5, 0.07,  1.2,  1.2, 0.00
  Depressive disorder,  7.2,  4.7, 0.11,  7.2,  7.5,-0.01
  Diabetes mellitus,  0.1,  0.1, 0.02,  0.1,  0.1,-0.01
  Gastroesophageal reflux disease, 12.2,  8.1, 0.14, 12.1, 12.9,-0.02
  Gastrointestinal hemorrhage,  1.0,  0.7, 0.03,  1.1,  1.3,-0.02
  Human immunodeficiency virus infection,  0.1,  0.1, 0.00,  0.1,  0.2,-0.02
  Hyperlipidemia, 25.9, 26.2,-0.01, 25.5, 25.8,-0.01
  Hypertensive disorder,  0.2,  0.1, 0.01,  0.2,  0.1, 0.02
  Obesity,  3.7,  2.3, 0.08,  3.7,  3.8, 0.00
  Osteoarthritis,  7.7,  4.8, 0.12,  7.7,  8.5,-0.03
  Pneumonia,  1.0,  0.3, 0.08,  0.9,  1.0,-0.02
  Psoriasis,  1.4,  0.9, 0.05,  1.4,  1.3, 0.01
  Rheumatoid arthritis,  7.3,  4.0, 0.15,  7.3,  8.2,-0.03
  Schizophrenia,  0.0,  0.0, 0.00,  0.0,  0.1,-0.01
  Ulcerative colitis,  0.8,  0.5, 0.04,  0.8,  0.9,-0.01
  Urinary tract infectious disease, 14.7, 11.2, 0.11, 14.6, 14.5, 0.00
  Viral hepatitis C,  0.5,  0.2, 0.04,  0.5,  0.5, 0.00
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation,  1.8,  1.1, 0.06,  1.8,  1.9, 0.00
  Cerebrovascular disease,  0.7,  0.5, 0.03,  0.7,  0.7, 0.01
  Coronary arteriosclerosis,  2.8,  2.0, 0.05,  2.6,  2.8,-0.01
  Heart disease,  0.7,  0.4, 0.04,  0.7,  0.8,-0.01
  Heart failure,  0.6,  0.2, 0.07,  0.6,  0.8,-0.01
  Ischemic heart disease,  0.1,  0.1, 0.00,  0.0,  0.0, 0.01
  Pulmonary embolism,  0.3,  0.1, 0.04,  0.2,  0.3,-0.01
  Venous thrombosis,  0.5,  0.3, 0.03,  0.4,  0.6,-0.02
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Malignant lymphoma,  0.2,  0.2,-0.01,  0.2,  0.3,-0.02
  Malignant neoplastic disease,  0.1,  0.1,-0.01,  0.1,  0.2,-0.02
  Primary malignant neoplasm of prostate,  0.0,  0.0, 0.00,  0.0,  0.0, 0.00
