"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Attention deficit hyperactivity disorder,  0.1,  0.1, 0.03,  0.2,  0.1, 0.01
  Chronic obstructive lung disease, 17.3, 10.9, 0.18, 16.8, 17.2,-0.01
  Crohn's disease,  0.9,  0.3, 0.08,  1.0,  1.0, 0.00
  Depressive disorder,  8.0,  4.0, 0.17,  8.0,  8.8,-0.03
  Diabetes mellitus,  0.0,  0.0, 0.00,  0.0,  0.1,-0.02
  Gastroesophageal reflux disease, 16.7,  8.9, 0.23, 16.3, 16.7,-0.01
  Gastrointestinal hemorrhage,  2.4,  1.6, 0.06,  2.4,  2.4, 0.00
  Human immunodeficiency virus infection,  0.0,  0.0,-0.01,  0.0,  0.0,-0.02
  Hyperlipidemia, 31.3, 25.0, 0.14, 31.7, 32.7,-0.02
  Obesity,  3.1,  1.7, 0.09,  3.3,  3.1, 0.01
  Osteoarthritis, 14.0,  9.3, 0.15, 13.8, 14.2,-0.01
  Pneumonia,  1.4,  0.4, 0.11,  1.3,  1.4,-0.01
  Psoriasis,  1.0,  0.8, 0.02,  1.0,  1.3,-0.03
  Rheumatoid arthritis,  8.7,  4.3, 0.18,  8.6,  9.2,-0.02
  Schizophrenia,  0.1,  0.1, 0.01,  0.1,  0.1,-0.01
  Ulcerative colitis,  0.9,  0.4, 0.06,  1.0,  1.0, 0.00
  Urinary tract infectious disease, 20.2, 13.1, 0.19, 20.0, 20.8,-0.02
  Viral hepatitis C,  0.1,  0.1, 0.01,  0.1,  0.2,-0.02
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation, 11.1,  7.5, 0.13, 10.9, 11.4,-0.02
  Cerebrovascular disease,  2.7,  2.1, 0.04,  2.7,  2.9,-0.01
  Coronary arteriosclerosis,  9.9,  7.5, 0.09,  9.7, 10.2,-0.01
  Heart disease,  1.6,  0.9, 0.07,  1.5,  1.7,-0.01
  Heart failure,  1.8,  0.7, 0.10,  1.7,  2.0,-0.02
  Ischemic heart disease,  0.1,  0.2,-0.03,  0.1,  0.1,-0.01
  Pulmonary embolism,  0.4,  0.1, 0.06,  0.4,  0.4, 0.00
  Venous thrombosis,  0.7,  0.5, 0.03,  0.7,  0.9,-0.02
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Malignant lymphoma,  0.4,  0.5,-0.01,  0.5,  0.8,-0.04
  Malignant neoplastic disease,  0.2,  0.2,-0.01,  0.1,  0.3,-0.03
  Primary malignant neoplasm of prostate,  0.0,  0.0, 0.00,  0.0,   ,   
