"",Before matching,"","",After matching,"",""
,Target,Comparator,,Target,Comparator,
Characteristic,%,%,Std. diff,%,%,Std. diff
Gender: female,100.0,100.0, 0.00,100.0,100.0, 0.00
Medical history: General,   ,   ,   ,   ,   ,   
  Acute respiratory disease,   ,  0.0,   ,   ,   ,   
  Attention deficit hyperactivity disorder,  0.5,  0.2, 0.05,  0.5,  0.5, 0.01
  Chronic obstructive lung disease, 16.6, 12.0, 0.13, 16.9, 18.2,-0.04
  Crohn's disease,  0.9,  0.4, 0.05,  0.8,  0.8, 0.00
  Depressive disorder, 10.4,  6.4, 0.15, 10.2, 10.9,-0.02
  Diabetes mellitus,  0.1,  0.1, 0.00,  0.1,  0.2,-0.01
  Gastroesophageal reflux disease, 16.9, 10.4, 0.19, 16.2, 16.5,-0.01
  Gastrointestinal hemorrhage,  2.0,  1.4, 0.05,  2.0,  2.2,-0.02
  Human immunodeficiency virus infection,  0.1,  0.1, 0.01,  0.1,  0.2,-0.01
  Hyperlipidemia, 41.2, 42.2,-0.02, 41.0, 41.2, 0.00
  Obesity,  5.9,  5.0, 0.04,  6.3,  6.6,-0.01
  Osteoarthritis, 17.8, 13.0, 0.13, 17.7, 18.8,-0.03
  Pneumonia,  2.7,  1.5, 0.09,  2.8,  3.0,-0.01
  Psoriasis,  1.3,  1.0, 0.03,  1.3,  1.6,-0.03
  Rheumatoid arthritis, 10.2,  5.1, 0.19,  9.8, 10.8,-0.03
  Schizophrenia,  0.1,  0.2,-0.01,  0.2,  0.2,-0.01
  Substance abuse,   ,  0.0,   ,   ,   ,   
  Ulcerative colitis,  0.8,  0.5, 0.04,  0.9,  0.9, 0.00
  Urinary tract infectious disease, 22.2, 16.6, 0.14, 22.1, 23.7,-0.04
  Viral hepatitis C,  0.7,  0.3, 0.06,  0.8,  0.6, 0.01
Medical history: Cardiovascular disease,   ,   ,   ,   ,   ,   
  Atrial fibrillation,  7.3,  5.5, 0.07,  6.8,  7.7,-0.03
  Cerebrovascular disease,  2.2,  1.6, 0.04,  2.1,  2.2,-0.01
  Coronary arteriosclerosis,  5.6,  4.2, 0.07,  5.4,  5.7,-0.01
  Heart disease,  1.9,  1.2, 0.06,  2.0,  1.9, 0.01
  Heart failure,  3.2,  2.1, 0.07,  3.3,  3.8,-0.03
  Ischemic heart disease,  0.1,  0.1, 0.00,  0.1,  0.2,-0.03
  Pulmonary embolism,  0.8,  0.4, 0.05,  0.8,  0.7, 0.01
  Venous thrombosis,  0.4,  0.3, 0.00,  0.4,  0.4,-0.01
Medical history: Neoplasms,   ,   ,   ,   ,   ,   
  Malignant lymphoma,  0.2,  0.2,-0.01,  0.1,  0.2,-0.01
  Malignant neoplastic disease,  0.1,  0.1,-0.01,  0.1,  0.2,-0.03
  Primary malignant neoplasm of prostate,  0.0,  0.0, 0.00,  0.0,  0.0, 0.00
